concept,count
HYDROCODONE-ACETAMINOPHEN 5-325 MG PO TABS,10827
MAGNESIUM SULF 2 G/50 ML NS,10822
SODIUM CHLORIDE,10799
METOPROLOL TARTRATE,10712
500 ML  -  SODIUM CHLORIDE 0.9 % IV SOLN,10286
VANCOMYCIN HCL 1000 MG IV SOLR,10247
ENOXAPARIN,10137
MORPHINE INJ,9858
D50,9823
NITROGLYCERIN 0.4 MG SL SUBL,9776
FAMOTIDINE,9692
DILAUDID,9649
INSULIN (REGULAR) 100 UNITS in 1,9639
ASPIRIN,9593
MORPHINE SULFATE,9503
Lasix,9393
ONDANSETRON HCL 4 MG/2ML IJ SOLN,9321
BISACODYL 10 MG RECT SUPP,9237
DEXTROSE 50%,9098
ONDANSETRON,9055
37.5 G TUBE : GLUCOSE 40 % PO GEL,9039
4 ML  -  FUROSEMIDE 10 MG/ML IJ SOLN,9006
MAGNESIUM OXIDE 400 MG TAB,8882
MORPHINE 4 MG/1 ML 1 ML SYR,8866
DUONEB,8841
hydrALAZINE,8754
BISACODYL,8698
INSULIN-GLARGINE *UNIT* INJ,8693
HYDROmorphone,8693
Protonix,8659
ACETAMINOPHEN 650 MG RE SUPP,8645
Ondansetron,8617
GLUCAGEN,8552
MAGNESIUM SULFATE 2 G IN NS PREMIX,8551
aspirin,8478
SODIUM CHLORIDE 0.9% 250 ML LVP,8361
1000 ML  -  DEXTROSE 5 % IV SOLN,8315
NORCO,8280
potassium CHLORIDE 20 MEQ UD LIQ,8262
SODIUM CHLORIDE 0.9 % IJ SOLN,8186
vancomycin,8160
NSS infusion,8140
DOCUSATE SODIUM 100 MG PO CAPS,8128
3 ML VIAL : INSULIN REGULAR HUMAN 100 UNIT/ML IJ SOLN,8037
ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,8016
SODIUM CHLORIDE 0.9% 1000 ML PB,7915
1 ML  -  HYDROMORPHONE HCL 1 MG/ML IJ SOLN,7829
METOPROLOL TARTRATE 25 MG TAB,7786
LISINOPRIL,7782
GLUCAGON HCL (RDNA) 1 MG IJ SOLR,7775
COLACE,7767
POLYETHYLENE GLYCOL 3350 PO PACK,7742
Zofran,7690
SENOKOT-S TAB,7648
2 ML  -  FENTANYL CITRATE 0.05 MG/ML IJ SOLN,7644
FAMOTIDINE 20 MG/2 ML SDV INJ,7625
3 ML  -  IPRATROPIUM-ALBUTEROL 0.5-2.5 (3) MG/3ML IN SOLN,7612
METOPROLOL,7516
Tylenol,7500
2 ML : ONDANSETRON HCL 4 MG/2ML IV SOLN,7476
100 ML  -  MAGNESIUM SULFATE IN D5W 10-5 MG/ML-% IV SOLN,7367
ATORVASTATIN,7363
midazolam,7343
magnesium sulfate,7303
pantoprazole,7244
"SODIUM CHLORIDE 0.9% 1,000 ML BAG",7188
FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN,7157
1 ML  -  HYDRALAZINE HCL 20 MG/ML IJ SOLN,7099
FUROSEMIDE 10 MG/1 ML 2ML SDV INJ,7091
acetaMINOPHEN 650MG RECT SUPP,6974
3 ML PLAS CONT: IPRATROPIUM-ALBUTEROL 0.5-2.5 (3) MG/3ML IN SOLN,6957
furosemide,6876
FUROSEMIDE 10 MG/1 ML 4ML SDV INJ,6827
1000 ml flex cont : sodium chloride 0.9 % iv soln,6765
FUROSEMIDE 40 MG PO TABS,6734
MIDAZOLAM HCL,6714
DIAZEPAM,6712
CHLORHEXIDINE GLUCONATE UD LIQ 15ML,6677
INSULIN LISPRO,6646
GLUCAGON,6630
OXYCODONE IR,6613
NovoLOG,6602
morPHINe,6550
LORazepam 2 MG/1 ML 1 ML INJ,6549
cefepime,6527
INSULIN ASPART 100 UNIT/ML SC SOLN,6524
ENOXAPARIN 40 MG/0.4 ML SYR,6505
FENTANYL CITRATE,6441
CLOPIDOGREL BISULFATE 75 MG PO TABS,6371
LANTUS,6331
heparin,6326
2 ML VIAL : FENTANYL CITRATE 0.05 MG/ML IJ SOLN,6311
HEPARIN SOD (PORCINE),6306
KLOR-CON,6224
FAMOTIDINE 20 MG PO TABS,6223
POLYETHYLENE GLYCOL 3350 UDPWD,6169
albuterol-ipratropium 3-0.5mg,6142
LACTATED RINGERS IV SOLP,6142
hydrALAZINE 20 MG/1 ML 1 ML INJ,6107
LEVAQUIN,6081
cefTRIAXone,6079
10 ML VIAL : INSULIN REGULAR HUMAN 100 UNIT/ML IJ SOLN,6064
VERSED,6058
OXYCODONE-ACETAMINOPHEN 5-325 MG PO TABS,6049
500 ML FLEX CONT EXCEL : SODIUM CHLORIDE 0.9 % IV SOLN,6037
potassium CHLORIDE 10 mEq i,6033
predniSONE,6027
DEXTROSE 50 % IV SOLN,6010
ZOSYN,5967
WARFARIN SODIUM 5 MG PO TABS,5956
VANCOCIN,5915
FAMOTIDINE 20 MG TAB,5909
WARFARIN,5884
POTASSIUM CHLORIDE ER,5855
HYDROMORPHONE HCL,5809
INSULIN REGULAR HUMAN 100 UNIT/ML IJ SOLN,5805
DUONEB 3 MG-0.5 MG/3 ML UD INH SOLN,5790
ENOXAPARIN SODIUM 40 MG/0.4ML SC SOLN,5785
famotidine,5740
ONDANSETRON HCL (PF) 4 MG/2 ML INJECTION 2 ML VIAL,5723
amiodarone,5703
ASPIRIN 325 MG PO TABS,5683
INSULIN HUMAN REGULAR,5654
BENADRYL,5636
COREG,5626
piperacillin-tazobactam,5619
50 ML  -  ALBUMIN HUMAN 25 % IV SOLN,5594
10 ML  -  INSULIN GLARGINE 100 UNIT/ML SC SOLN,5580
INSULIN ASPART,5575
NOREPINEPHRINE 8 MG in 250mL NS,5569
chlorHEXIDINE (PERIOGARD) 0.12 % oral rinse 15 mL,5541
"HEPARIN 5,000 UNIT/ML",5493
DULCOLAX,5486
HEPARIN 5000 UNIT/ML 1ML INJ,5470
50 ML FLEX CONT : MAGNESIUM SULFATE 4% IJ SOLN,5373
1000 ML : SODIUM CHLORIDE 0.9 % 0.9 % IV SOLP,5361
METHYLPREDNISOLONE SODIUM SUCC 125 MG IJ SOLR,5352
4 ML VIAL : FUROSEMIDE 10 MG/ML IJ SOLN,5350
DEXTROSE 50% ABBOJECT,5264
SODIUM CHLORIDE 0.9 % SYRINGE 10 ML SYRINGE,5208
Dilaudid,5156
nalOXone,5150
OXYCODONE HCL 5 MG PO TABS,5078
POTASSIUM CHLORIDE 40 MEQ/100 ML IV PIGGY BACK : 100 ML BAG,5073
PANTOPRAZOLE 40 MG EC TAB,5054
INSULIN LISPRO 100 UNITS/ML SUBQ SOLN,5044
ASPIRIN EC 81 MG PO TBEC,5025
Sodium Chloride 0.9%  SSO,5019
IPRATROPIUM-ALBUTEROL 0.5-2.5 (3) MG/3ML IN SOLN,5006
SODIUM CHLORIDE 0.9 % IV BOLUS,4999
1 ML VIAL: HEPARIN SODIUM (PORCINE) 5000 UNIT/ML IJ SOLN,4995
CARVEDILOL,4993
CALCIUM GLUCONATE 100 MG/ML IV SOLN,4988
BUMINATE,4952
APRESOLINE,4942
PIPERACILLIN SOD-TAZOBACTAM SO 3-0.375 G IV SOLR,4935
ACETAMINOPHEN  325 MG ORAL TAB,4930
MORPHINE 5 MG/ML INJECTION : 1 ML VIAL,4925
magnesium sulfate 1 g in d5w 100mL **LOCKED DOSE,4923
ALBUTEROL/IPRATROPIUM,4902
KCL 20 MEQ/50 ML,4879
DIPHENHYDRAMINE HCL,4855
HYDROmorphone 1 MG/1 ML SYR,4835
heparin (porcine),4833
250 ML FLEX CONT : SODIUM CHLORIDE 0.9 % IV SOLN,4819
2 ML: ONDANSETRON HCL 4 MG/2ML IJ SOLN,4799
PREDNISONE 20 MG PO TABS,4796
SODIUM CHLORIDE 0.9 % IV : 500 ML,4752
"Sodium Chloride 0.9% 1,000 mL",4736
METOPROLOL TARTRATE 50 MG PO TABS,4734
labetalol,4727
AMIODARONE HCL 200 MG PO TABS,4718
PROPOFOL 10 MG/1 ML 100ML SDV INJ,4698
SODIUM CHLORIDE 0.9 % IV SOLN,4690
"HEPARIN (PORCINE) 5,000 UNIT/ML INJECTION : 1 ML VIAL",4636
SODIUM CHLORIDE 0.9% 500 ML LVP,4622
LORAZEPAM 2 MG/ML IJ SOLN,4599
WARFARIN SOD,4558
LIPITOR,4527
1000 ML  -  LACTATED RINGERS IV SOLN,4526
30 ML CUP : ALUM & MAG HYDROXIDE-SIMETH 200-200-20 MG/5ML PO SUSP,4514
VANCOMYCIN HCL IN DEXTROSE 1 GM/200ML IV SOLN,4512
HYDROMORPHONE (PF)  1 MG/ML INJ SYRINGE,4497
Ativan,4493
ZOLPIDEM TARTRATE 5 MG PO TABS,4466
ALBUTEROL CONCENTRATED 0.5%,4445
bisacodyl,4445
MORPHINE,4434
50 ML FLEX CONT: MAGNESIUM SULFATE 40 MG/ML IJ SOLN,4424
ATORVASTATIN CALCIUM 40 MG PO TABS,4423
meTOPROLOL tartrate,4370
HYDRALAZINE HCL,4335
albuterol,4319
K PHOS MONO-SOD PHOS DI & MONO 155-852-130 MG PO TABS,4304
AMLODIPINE BESYLATE 5 MG PO TABS,4304
ASPIRIN (BABY ASA) 81 MG TAB,4291
NovoLOG Flexpen,4280
insulin lispro,4276
1 ML  -  LORAZEPAM 2 MG/ML IJ SOLN,4270
GABAPENTIN,4241
Insulin Aspart,4219
ALBUTEROL 2.5 MG/3 ML UD INH SOLN,4211
sodium chloride 0.9%,4196
oxyCODONE,4193
fentaNYL CITRATE INJ,4175
DIPRIVAN,4142
"PROVENTIL,VENTOLIN",4141
sodium phosphate 3 mmol/mL 15 mL Inj,4133
VANCOmycin 1 GM in NS 250 mL IVPB,4129
ANCEF,4113
SODIUM CHLORIDE 0.9 % IV SOLN BOLUS,4113
folic acid,4102
PREDNISONE,4099
Sodium Chloride 0.9%,4092
LACTATED RINGERS IV : 1000 ML BAG,4086
TRAMADOL HCL 50 MG PO TABS,4084
LABETALOL,4078
potassium phosphate 3 mmol/mL15 mL Inj,4072
DEXTROSE 5% IN WATER (D5W) IV : 1000 ML BAG,4022
VANCOMYCIN HCL 10 G IV SOLR,4022
ONDANSETRON (PF),4016
PANTOPRAZOLE 40 MG INJ,4008
REGLAN,3987
ECOTRIN EC,3975
albuterol-ipratropium (DUONEB) inhalation solution 3 mL,3954
FUROSEMIDE 20 MG PO TABS,3950
insulin aspart (NovoLOG) inj,3930
ALBUMIN HUMAN 5%,3913
GlucaGen,3911
DOCUSATE SODIUM 100 MG CAP,3908
XANAX,3892
SOLU-MEDROL,3884
ATROVENT,3860
Midazolam,3857
2 ML VIAL: FUROSEMIDE 10 MG/ML IJ SOLN,3848
PRINIVIL,3840
acetaminophen (TYLENOL) tab 650 mg,3832
ALBUTEROL SULFATE (2.5 MG/3ML) 0.083% IN NEBU,3831
NORVASC,3815
20 ML  -  LIDOCAINE HCL 1 % IJ SOLN,3805
CLONIDINE HCL 0.1 MG PO TABS,3799
50 ML  -  POTASSIUM CHLORIDE 20 MEQ/50ML IV SOLN,3788
phenylephrine,3766
"PANTOPRAZOLE 40 MG TABLET,DELAYED RELEASE",3758
METHYLPREDNISOLONE SOD SUCC,3757
ondansetron (ZOFRAN) inj 4 mg,3753
DEXTROSE 5%-NACL 0.9%,3751
LACTATED RINGERS 1000 ML LVP,3742
ipratropium-albuterol,3741
ONDANSETRON HCL,3736
Pepcid,3732
SODIUM BICARBONATE 8.4%,3728
Sodium Chloride 0.9% FLUSH,3711
DIPHENHYDRAMINE HCL 25 MG PO CAPS,3693
acetaminophen (TYLENOL) tablet 650 mg,3679
sodium chloride infusion 0.9%,3677
10 ML VIAL : INSULIN GLARGINE 100 UNIT/ML SC SOLN,3670
ceFAZolin,3656
OXYCODONE   5 MG ORAL TAB,3644
HEPARIN,3643
METHYLPREDNISOLONE SODIUM SUCC 40 MG IJ SOLR,3640
SODIUM CHLORIDE 0.9% P.F.,3640
sodium bicarbonate,3636
10 ML CUP : MAGNESIUM HYDROXIDE 2400 MG/10ML PO SUSP,3622
GLYCOPYRROLATE,3621
HYDROMORPHONE,3619
METOPROLOL 1 MG/ML 5ML SDV INJ,3575
COUMADIN,3571
1000 ML : LACTATED RINGERS IV SOLN,3571
CALCIUM GLUCONATE 1 GRAM/D5W 50ML,3570
LIDOCAINE HCL 1 % INJ SOLN,3570
FOLIC ACID 1 MG PO TABS,3563
POLYETHYLENE GLYCOL 3350 17 GRAM ORAL PWPK,3561
250 ML  -  SODIUM CHLORIDE 0.9 % IV SOLN,3558
PLAVIX,3554
LORazepam 2 MG/1 ML 1 ML SYR,3544
LEVOFLOXACIN 750 mg in D5W 150mL,3543
10 ML  -  HEPARIN SODIUM (PORCINE) 1000 UNIT/ML IJ SOLN,3541
POTASSIUM CHLORIDE 20 MEQ/100ML IV SOLN,3535
LORAZEPAM 1 MG PO TABS,3521
ONDANSETRON 4 MG PO TBDP,3520
1 ML  -  DIPHENHYDRAMINE HCL 50 MG/ML IJ SOLN,3513
POTASSIUM CHLORIDE 10 MEQ/100ML IV SOLN,3513
furosemide (LASIX) inj 40 mg,3511
ACETAMIN/HYDROCODON 325MG/5MG,3510
SYNTHROID,3474
atorvastatin,3459
MAGNESIUM HYDROXIDE,3456
CEFAZOLIN 2 GM IN NS 100 ML IVPB (REPACKAGE),3454
HALDOL,3451
ALBUMIN 25% 100 ML INJ,3432
potassium chloride 20 mEq in 50 mL ivpb **LOCKED DOSE,3432
MIRALAX,3429
10 ML VIAL: INSULIN ASPART 100 UNIT/ML SC SOLN,3427
INSULIN HUMALOG (PER UNIT),3422
1 ML VIAL : LORAZEPAM 2 MG/ML IJ SOLN,3416
GLUCOSE,3415
Coumadin,3409
10 ML  -  CALCIUM GLUCONATE 10 % IV SOLN,3406
2 ML  -  METOCLOPRAMIDE HCL 5 MG/ML IJ SOLN,3402
levothyroxine,3364
4 ML : FUROSEMIDE 10 MG/ML IJ SOLN,3360
ALBUTEROL SULF,3356
K-DUR,3350
"HEPARIN, PORCINE (PF) 5000 UNIT/0.5 ML INJ SYRINGE",3348
2 ML  -  FAMOTIDINE 10 MG/ML IV SOLN,3345
PERCOCET,3341
1 ML  -  HEPARIN SODIUM (PORCINE) 5000 UNIT/ML IJ SOLN,3317
methylPREDNISolone 40 MG INJ,3315
lisinopril,3313
37.5 G TUBE : DEXTROSE (DIABETIC USE) 40 % PO GEL,3309
SENNOSIDES,3295
"NS 1,000 mL",3293
2 ml vial : ondansetron hcl 4 mg/2ml ij soln,3284
amLODIPine,3283
HALOPERIDOL LACTATE,3274
LEVOFLOXACIN IN D5W 750 MG/150ML IV SOLN,3274
2 ML VIAL : MIDAZOLAM HCL 2 MG/2ML IJ SOLN,3267
10 ML VIAL: INSULIN REGULAR HUMAN 100 UNIT/ML IJ SOLN,3263
1 ML VIAL: LORAZEPAM 2 MG/ML IJ SOLN,3260
"NSS 0.9% 1,000 mL bolus infusion",3258
PREDNISONE 10 MG PO TABS,3250
DEXTROSE 50 % IN WATER (D50W) IV SYRINGE,3246
500 ML FLEX CONT : SODIUM CHLORIDE 0.9 % IV SOLN,3242
VANCOMYCIN,3242
0.5 ML PLAS CONT : ALBUTEROL SULFATE (5 MG/ML) 0.5% IN NEBU,3241
POTASSIUM CHLORIDE  20 MEQ ORAL SR PART/TAB,3239
NALOXONE,3239
LORAZEPAM 2 MG/ML INJ SOLN,3230
PANTOPRAZOLE SOD,3230
100 ML BAG : SODIUM CHLORIDE 0.9 % 0.9 % IV SOLP,3229
GLUCAGON (HUMAN RECOMBINANT),3224
CALCIUM GLUCONATE 10 % IV SOLN 10ML,3218
ONDANSETRON INJ,3201
VANCOMYCIN HCL,3197
Lopressor,3196
diphenhydrAMINE,3195
"hEParin inj 5,000 Units",3194
1 ML CRTRDG-NDL : MORPHINE SULFATE (PF) 2 MG/ML IV SOLN,3189
ZOSYN 3.375 GRAM in NS 100 mL IVPB,3187
INSULIN REG 100 UNITS/100 ML,3187
CARDIZEM,3184
AMLODIPINE BESYLATE 10 MG PO TABS,3182
FUROSEMIDE INJ,3181
POTASSIUM CHLORIDE 2 MEQ/ML IV SOLN,3172
"HEPARIN 25,000 unit(s) in D5W 25",3169
2 ML: FENTANYL CITRATE 0.05 MG/ML IJ SOLN,3169
ALBUTEROL SULFATE (5 MG/ML) 0.5% IN NEBU,3166
SODIUM BICARBONATE 8.4% 50 ML INJ,3161
VITAMINS/MINERALS PO TABS,3157
DEXAMETHASONE 4 MG/1ML INJECTION,3144
BUMEX,3136
DILTIAZEM,3136
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) IV SOLN",3136
NaCl 0.9%,3121
GABAPENTIN 300 MG PO CAPS,3121
SODIUM CHLORIDE 0.9% 500 ML PB,3120
DOCUSATE SODIUM 250 MG ORAL CAP,3112
LACTULOSE 20 GRAM/30 ML UD LIQ,3104
ASPIRIN EC,3102
MAGNESIUM SULFATE 50 % (4 MEQ/ML) INJ,3102
metoprolol,3087
MILK OF MAGNESIA UD LIQ 30 ML,3084
ROXICODONE,3084
oxyCODONE 5 MG TAB,3079
DIGOXIN,3066
1 ML VIAL : DEXAMETHASONE SODIUM PHOSPHATE 4 MG/ML IJ SOLN,3064
FENTANYL CITRATE 0.05 MG/ML IJ SOLN,3061
Colace,3039
dexmedetomidine,3036
LIDOCAINE HCL 1%,3029
10 ML VIAL: INSULIN GLARGINE 100 UNIT/ML SC SOLN,3029
FUROSEMIDE 10 MG/ML IJ SOLN,3009
VANCOMYCIN HCL 1 GM VIAL,3003
LISINOPRIL 10 MG PO TABS,2995
ACETAMINOPHEN 500 MG PO TABS,2994
"RINGERS SOLUTION,LACTATED",2993
"ASPIRIN, CHILDREN'S",2984
TRAZODONE,2977
4 ML VIAL: FUROSEMIDE 10 MG/ML IJ SOLN,2974
MAGNESIUM OXIDE,2972
POTASSIUM PHOSPHATE,2967
5 G  -  LIDOCAINE-PRILOCAINE 2.5-2.5 % EX CREA,2963
Magnesium Sulfate ivpb,2957
IPRATROPIUM-ALBUTEROL,2955
albuterol sulfate (PROVENTIL) (2.5 MG/3ML) 0.083% inhalation solution 2.5 mg,2941
Lovenox,2940
LORAZEPAM 0.5 MG PO TABS,2939
calcium gluconate,2933
LANOXIN,2932
diltiazem,2925
MIDAZOLAM (PF) 1 MG/1 ML 2 ML INJ,2917
diphenhydrAMINE 50 MG/1 ML 1 ML INJ,2911
CARVEDILOL 3.125 MG PO TABS,2910
50 ML SYRINGE: DEXTROSE 50 % IV SOLN,2905
NALOXONE 0.4 MG/ML INJ SOLN,2903
DEXTROSE 50% INJ,2893
ALTEPLASE 2 MG IJ SOLR,2891
ALBUTEROL 90 MCG,2886
DEXMEDETOMIDINE 200 MCG in 50 mL NS,2885
LISINOPRIL 20 MG PO TABS,2885
ONDANSETRON 4 MG PO TAB-DISPERSE,2880
HYDROcodone-acetaminophen,2877
ALBUMIN HUMAN 25%,2876
250 ML  -  ALBUMIN HUMAN 5 % IV SOLN,2873
INSULIN LISPRO (HUMAN) 100 UNIT/ML SUBCU SOLN EXTEMP INJ,2873
SODIUM CHLORIDE BACTERIOSTATIC 0.9 % INJ SOLN,2869
MAGNESIUM SULFATE 50 % IJ SOLN,2867
LIDOCAINE-TRANSPARENT DRESSING 4 % EXTERNAL KIT,2859
20 ML  -  LABETALOL HCL 5 MG/ML IV SOLN,2857
5 ML SYRINGE : HEPARIN SODIUM LOCK FLUSH 10 UNIT/ML IV SOLN,2851
lidocaine,2843
METOCLOPRAMIDE,2837
fentaNYL inj 50 mcg,2835
CLOPIDOGREL 75 MG TAB,2834
100 ml flex cont : magnesium sulfate in d5w 10-5 mg/ml-% iv soln,2830
CALCIUM GLUCONATE 2 G/50 ML NS,2823
INSULIN LISPRO (HUMAN) 100 UNIT/ML SC SOLN,2820
1 ML VIAL : HEPARIN SODIUM (PORCINE) 1000 UNIT/ML IJ SOLN,2812
DuoNeb,2810
ATROPINE 0.1 MG/ML INJ SYRINGE,2807
Dextrose 5% SSO,2807
METOPROLOL TARTRATE 1 MG/ML IV SOLN,2806
BAYER CHEWABLE,2801
LEVETIRACETAM 500 MG PO TABS,2799
ALBUMIN 5% 250 ML INJ,2798
HEPARIN SODIUM (PORCINE) 5000 UNIT/ML IJ SOLN,2795
POTASSIUM SODIUM PHOSPHATE PWDPKT,2793
traZODone,2786
1000 ML  -  DEXTROSE-NACL 5-0.45 % IV SOLN,2782
MAGNESIUM SULFATE 2 GRAM/50 ML IV PIGGY BACK 50 ML FLEX CONT,2768
metoPROLOL,2762
OPTIRAY 320,2753
niCARdipine 40 MG in 200 mL NS RTU-,2753
HALOPERIDOL 5 MG/1 ML 1 ML INJ,2751
sodium chloride 0.9 % flush peripheral lok 3 mL,2751
AMLODIPINE BESYLATE,2750
ONDANSETRON HCL 4 MG PO TABS,2750
TAMSULOSIN HCL 0.4 MG PO CAPS,2750
GLUCOSE 40% GEL,2750
INSULIN GLARGINE SYRINGE,2749
ALPRAZOLAM 0.25 MG PO TABS,2746
CLOPIDOGREL,2745
MORPHINE SULFATE 2 MG/ML IJ SOLN,2732
10 ml vial : insulin aspart 100 unit/ml sc soln,2731
NSS 0.9% 500 mL bolus infusion,2730
1 ML CRTRDG-NDL : MORPHINE SULFATE 2 MG/ML IJ SOLN,2712
ALPRAZOLAM,2706
NaCl 0.9% ADV,2697
dextrose 50 % inj,2688
nitroglycerin,2684
SODium PHOSphate 15 MMOL/100ML NS,2683
zolpiDEM 5 MG TAB,2682
MAGNESIUM SULFATE IN D5W 1 GRAM/100 ML IV PIGGY BACK : 100 ML,2678
enoxaparin,2677
LORazepam 0.5 MG TAB,2675
MIDAZOLAM INJ,2672
INSULIN REGULAR HUMAN 100 UNIT/ML INJ SOLN,2670
DEXT 5%-NACL 0.45% 1000 ML LVP,2668
WARFARIN SODIUM 2 MG PO TABS,2665
NEURONTIN,2663
MIDAZOLAM 1 MG/ML INJ SOLN,2654
AMIODARONE 200 MG TAB,2648
FENTANYL STANDARD INFUSION 10 MCG/ML PREMIX,2642
levETIRAcetam,2637
MILK OF MAGNESIA,2635
SODIUM CHLORIDE 0.9% 500 ML BAG,2633
potassium chloride ivpb,2633
INSULIN DETEMIR,2625
ALBUTEROL SULFATE 2.5 MG INHL NEB SOLN,2623
POTASSIUM & SODIUM PHOSPHATES 280-160-250 MG PO PACK,2619
ASPIRIN 81 MG EC TAB,2604
1 ML  -  NALOXONE HCL 0.4 MG/ML IJ SOLN,2600
KCL 10%,2599
BUFFERED LIDOCAINE 1%,2597
meropenem,2596
SENNA/DOCUSATE SODIUM,2593
DEXAMETHASONE,2591
Albuterol-Ipratropium (DUONEB) nebulizer solution 3 mL,2582
sodium chloride 0.9 %,2578
ALBUMIN 5% 500 ML INJ,2577
ROCEPHIN,2576
2 ML  -  PROCHLORPERAZINE EDISYLATE 5 MG/ML IJ SOLN,2571
metoprolol tartrate,2565
FUROSEMIDE 20 MG/2ML INJ SOLN,2558
ZOFRAN ODT,2547
MAGNESIUM SULFATE 2G/SODIUM CHLORIDE 0.9% 100ML STOCK BAG,2541
ACETAMINOPHEN 325 MG TABLET,2536
Sodium Chloride 0.9% 500 ML BAG,2532
SoluMedrol,2511
methylPREDNISolone 125 MG INJ,2499
2 ML VIAL : METOCLOPRAMIDE HCL 5 MG/ML IJ SOLN,2498
Albuterol-Ipratropium 2.5MG-0.5MG,2493
POTASSIUM CHLORIDE  20 MEQ ORAL PACK,2490
sodium chloride 0.9% (NS) infusion,2489
VANCOMYCIN 1 G/200 ML D5W,2483
Benadryl,2472
50 ml syringe : dextrose 50 % iv soln,2469
LABETALOL HCL,2467
docusate sodium (COLACE) cap 100 mg,2467
DEXTROSE 50% VIAL,2465
SODIUM CHLORIDE 0.9 % BOLUS,2459
Potassium Chloride Inj 2 MEQ/ML VIAL,2457
PHENYLEPHRINE HCL 10 MG/ML IJ SOLN,2445
atropine,2441
PROPOFOL 10 MG/ML IV EMUL,2439
THIAMINE,2435
CARVEDILOL 6.25 MG PO TABS,2421
oxyCODONE (OXY IR) cap-tab 5 mg,2419
POTASSIUM AND SODIUM PHOSPHATE,2419
NITROGLYCERIN,2417
fentaNYL 1000 MCG IN 100 ML NS,2417
acetaminophen 325 mg po tabs,2413
CALCIUM GLUCONATE 10%,2409
insulin aspart Corrective dosing,2409
SODIUM PHOSPHATE 3 MMOLE/ML IV : 15 ML VIAL,2399
SENNOSIDES  8.6 MG ORAL TAB,2396
SODIUM PHOSPHATE,2391
CHLORHEXIDINE GLUCONATE 0.12%,2390
MUPIROCIN 2 % OINT 1 G SYRINGE,2381
LACTATED RINGERS,2381
PNEUMOCOCCAL POLYSACCHARIDES,2381
VANCOMYCIN 1.25 GM IN NS 250 ML IVPB (REPACKAGE),2380
HYDRALAZINE,2380
methylPREDNISolone sod suc(PF),2379
LISINOPRIL 5 MG PO TABS,2372
FUROSEMIDE 10 MG/ML INJ SOLN,2372
NOREPINEPHRINE 4 MG/250 ML NS,2369
SIMVASTATIN,2368
