concept,count
"('227700', 'Safety Measures')",7582
"('224085', 'Assistance Device')",7579
"('224072', 'Education Learner')",7519
"('224862', 'Edema Amount')",7504
"('228894', 'Impaired Fluid Balance NCP - Expected outcomes')",7480
"('224786', 'GI #1 Tube Status')",7435
"('224079', 'Education Response')",7352
"('226104', 'Level of Consciousness')",7346
"('224415', 'ETT Mark (cm)')",7339
"('223838', 'ETT Location')",7314
"('224832', 'ETT Type')",7307
"('223837', 'ETT Size (ID)')",7298
"('223898', 'Orientation')",7298
"('228332', 'Delirium assessment')",7289
"('228100', '20 Gauge placed in the field')",7245
"('224373', 'Sputum Amount')",7163
"('224372', 'Sputum Source')",7144
"('224281', 'Multi Lumen Site Appear')",7033
"('223902', 'Speech')",7011
"('227442', 'Potassium (serum)')",6926
"('220645', 'Sodium (serum)')",6918
"('220602', 'Chloride (serum)')",6848
"('224289', 'Arterial line Site Appear')",6773
"('223911', 'Spontaneous Movement')",6738
"('226169', 'Subglottal Suctioning')",6597
"('220545', 'Hematocrit (serum)')",6518
"('223849', 'Ventilator Mode')",6518
"('220228', 'Hemoglobin')",6505
"('224370', 'Sputum Color')",6497
"('227443', 'HCO3 (serum)')",6485
"('220615', 'Creatinine (serum)')",6460
"('226113', 'Multi Lumen placed in outside facility')",6439
"('223916', 'Response to Stimuli (Type)')",6438
"('225624', 'BUN')",6437
"('227073', 'Anion gap')",6435
"('220621', 'Glucose (serum)')",6423
"('223872', 'Inspired Gas Temp.')",6412
"('224291', 'Arterial line Waveform Appear')",6355
"('224040', 'Incision Closure #1')",6354
"('224756', 'Response')",6339
"('226107', 'Arterial Line placed in outside facility')",6269
"('224369', 'Sputum Consistency')",6265
"('224848', 'Incision Appearance #1')",6221
"('220635', 'Magnesium')",6219
"('229604', 'Therapeutic Bed')",5950
"('224005', 'Flatus')",5937
"('229126', 'Altered Sensory Perception NCP - Interventions')",5905
"('227756', 'Multi Lumen Placement Confirmed by X-ray')",5899
"('225677', 'Phosphorous')",5887
"('225625', 'Calcium non-ionized')",5863
"('223917', 'RU Strength/Movement')",5857
"('223919', 'LU Strength/Movement')",5856
"('223918', 'RL Strength/Movement')",5853
"('223920', 'LL Strength/Movement')",5850
"('227457', 'Platelet Count')",5844
"('228943', 'Infection NCP - Expected outcomes')",5824
"('228983', 'Safety Restraints NCP - Expected outcomes')",5766
"('220546', 'WBC')",5759
"('224688', 'Respiratory Rate (Set)')",5520
"('226814', 'Known difficult intubation')",5473
"('227367', '18 Gauge Dressing Occlusive')",5456
"('226137', '18 Gauge placed in outside facility')",5440
"('228394', 'Orientation to Person')",5391
"('224684', 'Tidal Volume (set)')",5281
"('224701', 'PSV Level')",5257
"('228953', 'Coping/Knowledge Deficit  NCP - Expected outcomes')",5247
"('228395', 'Orientation to Place')",5245
"('224738', 'Inspiratory Time')",5238
"('228013', '20 G Phlebitis Scale')",5200
"('228014', '20 G Infiltration Scale')",5170
"('224686', 'Tidal Volume (spontaneous)')",5157
"('228396', 'Orientation to Time')",5136
"('220060', 'Pulmonary Artery Pressure diastolic')",5126
"('220059', 'Pulmonary Artery Pressure systolic')",5121
"('220061', 'Pulmonary Artery Pressure mean')",5023
"('228306', 'Assistance Device')",5014
"('228405', 'Motor L Leg')",4945
"('228404', 'Motor L Arm')",4940
"('228406', 'Motor R Arm')",4929
"('228393', 'Bath')",4926
"('228407', 'Motor R Leg')",4925
"('227292', 'Arterial Line Dressing Occlusive')",4846
"('229354', 'Foley Cath Insertion Location')",4821
"('224283', 'Multi Lumen Waveform Appear')",4744
"('229652', 'Stroke NCP - Interventions')",4737
"('229245', 'Humidifier Water % Fill Level')",4646
"('228099', '18 Gauge placed in the field')",4619
"('223753', 'Riker-SAS Scale')",4617
"('229244', 'Humidifier Water Changed')",4572
"('223762', 'Temperature Celsius')",4558
"('228307', 'GI #1 Tube Place Check')",4461
"('223830', 'PH (Arterial)')",4452
"('227466', 'PTT')",4419
"('228559', 'Incision #1- Location')",4377
"('225184', 'Eye Care')",4348
"('220235', 'Arterial CO2 Pressure')",4290
"('220224', 'Arterial O2 pressure')",4290
"('225698', 'TCO2 (calc) Arterial')",4289
"('224828', 'Arterial Base Excess')",4289
"('228911', 'Altered Skin Integrity NCP - Expected outcomes')",4271
"('224041', 'Incision Drainage #1')",4246
"('224226', 'Impaired Skin Wound Base #1')",4230
"('228879', 'Education Readiness/Motivation')",4209
"('228496', 'Impaired Skin #1- Location')",4204
"('224565', 'Surrounding Tissue #1')",4200
"('228880', 'Education Existing Knowledge')",4141
"('227467', 'INR')",4031
"('227465', 'Prothrombin time')",4031
"('227293', 'Multi Lumen Dressing Occlusive')",4000
"('229314', 'Ventilator Mode (Hamilton)')",3979
"('224032', 'Impaired Skin Site #1')",3976
"('228997', 'Discharge NCP - Interventions')",3873
"('224794', 'Stool Color')",3839
"('229326', 'CAM-ICU MS Change')",3779
"('224011', 'Stool Consistency')",3734
"('228400', 'Visual Field Cut')",3717
"('227349', 'High risk (>51) interventions')",3712
"('229323', 'Current Dyspnea Assessment')",3711
"('224146', 'System Integrity')",3696
"('225187', 'Back Care')",3683
"('225185', 'Skin Care')",3632
"('224564', 'Impaired Skin Odor #1')",3623
"('228416', 'Corneal Reflex Right')",3554
"('224639', 'Daily Weight')",3536
"('228415', 'Corneal Reflex Left')",3532
"('226457', 'Ultrafiltrate Output')",3527
"('224259', 'Impaired Skin Drainage #1')",3523
"('224691', 'Flow Rate (L/min)')",3495
"('224191', 'Hourly Patient Fluid Removal')",3479
"('229644', 'Stroke NCP - Expected outcomes')",3479
"('229369', 'Acuity Workload Question 1')",3461
"('229370', 'Acuity Workload Question 2')",3459
"('224696', 'Plateau Pressure')",3445
"('225183', 'Current Goal')",3432
"('228571', 'Incision #1- Treatment')",3402
"('224188', 'PICC Line Site Appear')",3390
"('224151', 'Effluent Pressure')",3390
"('224150', 'Filter Pressure')",3390
"('224149', 'Access Pressure')",3387
"('224152', 'Return Pressure')",3386
"('224829', 'Trach Tube Type')",3367
"('228011', '18 G Phlebitis Scale')",3327
"('225668', 'Lactic Acid')",3324
"('224154', 'Dialysate Rate')",3321
"('228012', '18 G Infiltration Scale')",3316
"('224153', 'Replacement Rate')",3283
"('225977', 'Dialysate Fluid')",3281
"('225976', 'Replacement Fluid')",3281
"('225312', 'ART BP Mean')",3272
"('226105', 'Behavior')",3269
"('225310', 'ART BP Diastolic')",3260
"('227375', 'Daily Wake Up')",3259
"('225309', 'ART BP Systolic')",3259
"('226871', 'Expiratory Ratio')",3211
"('224144', 'Blood Flow (ml/min)')",3205
"('225188', 'Cough/Deep Breath')",3201
"('226873', 'Inspiratory Ratio')",3200
"('224993', 'Incision Appearance #2')",3200
"('228401', 'Pronator Drift')",3177
"('228966', 'Nutrition  NCP - Interventions')",3174
"('224075', 'Education Readiness')",3158
"('220765', 'Intra Cranial Pressure')",3121
"('226115', 'PICC Line placed in outside facility')",3098
"('225004', 'Incision Closure #2')",3066
"('224700', 'Total PEEP Level')",3054
"('227566', 'Ventilator Tank #2')",3019
"('224038', 'Impaired Skin Treatment #1')",3007
"('227565', 'Ventilator Tank #1')",3007
"('225667', 'Ionized Calcium')",3002
"('220058', 'Arterial Blood Pressure Alarm - High')",3001
"('220056', 'Arterial Blood Pressure Alarm - Low')",2997
"('227239', 'ABP Alarm Source')",2963
"('223754', 'Risk for Falls')",2953
"('224561', 'Impaired Skin Type #1')",2933
"('229384', 'Tongue')",2908
"('227759', 'PICC Line Placement Confirmed by X-ray')",2882
"('224850', 'Incision Drainage Amount #1')",2867
"('229091', 'Altered Respiratory Status NCP - Problem resolved')",2864
"('225231', '20 Gauge Site Appear')",2859
"('223780', 'Daily Wake Up Deferred')",2835
"('223903', 'Communication')",2817
"('225811', 'CV - past medical history')",2800
"('223910', 'Follows Commands')",2787
"('228005', 'PBP (Prefilter) Replacement Rate')",2759
"('228560', 'Incision #2- Location')",2757
"('229687', 'Pain Assessment Method')",2743
"('229535', 'Line Type')",2727
"('224847', 'Impaired Skin Drainage Amount #1')",2726
"('228006', 'Post Filter Replacement Rate')",2720
"('223772', 'SvO2')",2676
"('228004', 'Citrate (ACD-A)')",2676
"('228594', 'Incision #1- Dressing Status')",2627
"('225210', 'Arterial Line Zero/Calibrate')",2580
"('223931', 'Neuro Drain #1 Status')",2543
"('228337', 'CAM-ICU MS Change')",2478
"('226329', 'Blood Temperature CCO (C)')",2465
"('224009', 'GI #1 Tube Drainage')",2428
"('224842', 'Cardiac Output (CCO)')",2408
"('229101', 'Impaired Tissue Perfusion NCP - Problem resolved')",2389
"('224012', 'Stool Management')",2363
"('224972', 'Surrounding Tissue #2')",2361
"('229689', 'CPOT-Pain Assessment Method')",2339
"('229247', 'Trans Membrane Pressure')",2328
"('229248', 'Pressure Drop')",2326
"('224830', 'Trach Tube Manufacturer')",2298
"('224730', 'Corneal Reflex Right')",2291
"('224831', 'Trach Tube Size (I.D.)')",2285
"('224930', 'Impaired Skin Site #2')",2264
"('224958', 'Impaired Skin Wound Base #2')",2234
"('224731', 'Corneal Reflex Left')",2214
"('229111', 'Safety Restraints NCP - Problem resolved')",2167
"('227290', 'CRRT mode')",2166
"('226139', '22 Gauge placed in outside facility')",2133
"('229103', 'Infection NCP - Problem resolved')",2130
"('227369', '22 Gauge Dressing Occlusive')",2128
"('224391', 'ETT Mark (location)')",2091
"('229385', 'Shoulder Shrug')",2083
"('227066', 'Cerebral Perfusion Pressure')",2075
"('227358', 'PICC Line Dressing Occlusive')",2070
"('229107', 'Pain NCP - Problem resolved')",2055
"('229383', 'Extraocular Movements')",2054
"('225013', 'Incision Drainage #2')",2032
"('225234', '18 Gauge Site Appear')",2018
"('229647', 'Stroke NCP - Problem')",2007
"('228308', 'GI #1 Tube Place Method')",1999
"('229124', 'Altered Sensory Perception NCP - Expected Outcomes')",1988
"('227472', 'Incision Site #1')",1985
"('228529', 'Impaired Skin #1- Treatment')",1984
"('228101', '22 Gauge placed in the field')",1976
"('226537', 'Glucose (whole blood)')",1974
"('228236', 'Insulin pump')",1970
"('225103', 'Intravenous  / IV access prior to admission')",1966
"('228497', 'Impaired Skin #2- Location')",1929
"('227668', 'Side Rails_V2')",1927
"('228572', 'Incision #2- Treatment')",1923
"('225059', 'Past medical history')",1914
"('223926', 'Neuro Drain #1 Type')",1911
"('224851', 'Dressing Status #1')",1889
"('224037', 'Impaired Skin Cleanse #1')",1854
"('225323', 'Dialysis Catheter Site Appear')",1851
"('229858', 'Therapeutic Bed')",1850
"('229089', 'Altered Mental Status  NCP - Problem resolved')",1847
"('224417', 'Cuff Pressure')",1835
"('224923', 'Impaired Skin Odor #2')",1822
"('224170', 'MDI #1 Drug')",1805
"('226531', 'Admission Weight (lbs.)')",1803
"('224042', 'Incision Dressing #1')",1798
"('228516', 'Impaired Skin #1- Type')",1789
"('227464', 'Potassium (whole blood)')",1784
"('225050', 'Warming Device Status')",1777
"('220644', 'ALT')",1769
"('220587', 'AST')",1768
"('225690', 'Total Bilirubin')",1747
"('225612', 'Alkaline Phosphate')",1730
"('223923', 'Seizure Activity')",1718
"('224902', 'Impaired Skin Drainage #2')",1717
"('225072', 'Living situation')",1714
"('223993', 'Chest Tube Site # 1')",1711
"('228334', 'CAM-ICU Altered LOC')",1709
"('224937', 'Impaired Skin Treatment #2')",1687
"('229109', 'Post-op Care NCP - Problem resolved')",1678
"('224944', 'Impaired Skin Type #2')",1664
"('227780', 'Impaired Skin  - Dressing Status #1')",1663
"('224758', 'RUE Sensation')",1661
"('223997', 'CT #1 Dressing')",1638
"('224806', 'CT #1 Suction Type')",1634
"('223996', 'CT #1 Drainage')",1634
"('223924', 'RLE Sensation')",1633
"('224759', 'LUE Sensation')",1628
"('229703', 'CPOT-Pain Management')",1619
"('223994', 'CT #1 Suction Amount')",1613
"('229325', 'CAM-ICU Inattention')",1600
"('224762', 'LLE Sensation')",1598
"('225092', 'Self ADL')",1596
"('226118', 'Dialysis Catheter placed in outside facility')",1592
"('228733', 'Pressure ulcer #1- Wound Base')",1575
"('223995', 'CT #1 Fluctuate')",1568
"('229099', 'Impaired Fluid Balance NCP - Problem resolved')",1565
"('228648', 'Home TF')",1547
"('227753', 'Dialysis Catheter Placement Confirmed by X-ray')",1544
"('225189', 'Incentive Spirometry')",1539
"('224775', 'CT #1 Leak')",1534
"('228743', 'Pressure ulcer #1- Surrounding tissue')",1526
"('228595', 'Incision #2- Dressing Status')",1519
"('225094', 'History of slips / falls')",1502
"('229300', 'GI #1 Tube Mark (CM)')",1499
"('228649', 'Pressure Ulcer Present')",1496
"('223930', 'Neuro Drain #1 Level')",1492
"('224562', 'Impaired Skin Length #1')",1488
"('224145', 'Heparin Dose (per hour)')",1486
"('225097', 'Balance')",1485
"('224105', 'Warming Device')",1483
"('225106', 'ETOH')",1477
"('223932', 'Neuro Drain #1 Drainage')",1469
"('224994', 'Incision Appearance #3')",1465
"('228640', 'EtCO2')",1462
"('224846', 'Impaired Skin Width #1')",1459
"('225099', 'Judgement')",1446
"('224109', 'Cervical Collar Type')",1443
"('225018', 'Incision Drainage Amount #2')",1421
"('223968', 'Angio Appearance # 1')",1405
"('223998', 'CT #1 Crepitus')",1397
"('223967', 'Angio Site # 1')",1391
"('226479', 'Ectopy Type 2')",1388
"('228015', '22 G Phlebitis Scale')",1380
"('225131', 'Teaching directed toward')",1377
"('228506', 'Pressure Ulcer #1- Location')",1372
"('228016', '22 G Infiltration Scale')",1368
"('228402', 'Neurological Symptoms')",1363
"('224110', 'Cervical Collar Status')",1362
"('226136', '16 Gauge placed in outside facility')",1356
"('227366', '16 Gauge Dressing Occlusive')",1356
"('223970', 'Angio Dressing # 1')",1354
"('227985', 'Neuro Drain #1 Landmark')",1354
"('224640', 'Service')",1352
"('225118', 'Difficulty swallowing')",1350
"('228993', 'Discharge NCP - Expected outcomes')",1347
"('229698', 'CPOT-Facial Expression (CPOTb)')",1344
"('224909', 'Impaired Skin Drainage Amount #2')",1339
"('229696', 'CPOT-Body Movements (CPOTb)')",1339
"('229134', 'Elimination NCP - Interventions')",1333
"('229695', 'CPOT-Vocalization (CPOTb)')",1332
"('229691', 'CPOT-Muscle Tension (CPOTb)')",1331
"('225087', 'Visual / hearing deficit')",1319
"('224106', 'Cooling Device')",1315
"('228549', 'Pressure Ulcer #1- Type')",1314
"('227687', 'Tobacco Use History')",1307
"('225113', 'Currently experiencing pain')",1307
"('225110', 'Recreational drug use')",1301
"('225005', 'Incision Closure #3')",1300
"('224010', 'GI #1 Tube Place Check')",1299
"('225101', 'Use of assistive devices')",1280
"('227570', 'Small Volume Neb Drug/Dose #1')",1274
"('223955', 'Temporary Pacemaker Type')",1269
"('228813', 'Pressure ulcer #1- Stage')",1264
"('223921', 'Neuro Symptoms')",1253
"('220227', 'Arterial O2 Saturation')",1246
"('225120', 'Appetite')",1245
"('224959', 'Impaired Skin Wound Base #3')",1243
"('228962', 'Nutrition  NCP - Expected outcomes')",1239
"('225126', 'Dialysis patient')",1238
"('223956', 'Temporary Pacemaker Mode')",1234
"('229662', 'Pminimum')",1226
"('229663', 'Pinsp (Hamilton)')",1215
"('228561', 'Incision #3- Location')",1213
"('223961', 'Temporary Pacemaker Wire Condition')",1210
"('229090', 'Altered Respiratory Status NCP - Plan revised')",1201
"('224169', 'MDI #1 Puff')",1199
"('229660', 'RCexp (Measured Time Constant)')",1197
"('228600', 'Impaired Skin #1- Dressing Status')",1196
"('229664', 'Resistance Exp')",1187
"('229661', 'Compliance')",1187
"('229665', 'Resistance Insp')",1184
"('225067', 'Is the spokesperson the Health Care Proxy')",1175
"('229095', 'Coping/Knowledge Deficit  NCP - Problem resolved')",1157
"('228297', 'Daily Wake Up Deferred')",1148
"('225135', 'Consults')",1136
"('224751', 'Temporary Pacemaker Rate')",1133
"('225122', 'Special diet')",1132
"('224973', 'Surrounding Tissue #3')",1132
"('225052', 'Cooling Device Status')",1130
"('223758', 'Code Status')",1128
"('229476', 'PICC Line Power PICC')",1121
"('225078', 'Social work consult')",1116
"('224931', 'Impaired Skin Site #3')",1111
"('227631', 'Arctic Sun Temp #2 Location')",1111
"('224888', 'Impaired Skin Cleanse #2')",1102
"('223962', 'Temporary Pacemaker Wires Venticular')",1096
"('224297', 'Cordis/Introducer Site Appear')",1090
"('225124', 'Unintentional weight loss >10 lbs.')",1077
"('225074', 'Any fear in relationships')",1074
"('224043', 'Incision Cleansing #1')",1073
"('224632', 'Tunneling Present #1')",1063
"('227350', 'Cordis/Introducer Dressing Occlusive')",1059
"('224839', 'Temporary Pacemaker Wires Atrial')",1047
"('228098', '16 Gauge placed in the field')",1046
"('228498', 'Impaired Skin #3- Location')",1043
"('227634', 'Arctic Sun/Alsius Temp #2 C')",1041
"('226180', 'Sexuality / reproductive problems')",1028
"('229538', 'PICC - Heparin Dependent')",1028
"('226512', 'Admission Weight (Kg)')",1020
"('220072', 'Central Venous Pressure Alarm - High')",1018
"('220073', 'Central Venous Pressure  Alarm - Low')",1013
"('220274', 'PH (Venous)')",1002
"('228853', 'Impaired Skin #1- Type')",996
"('227752', 'Cordis/Introducer Placement Confirmed by X-ray')",991
"('226109', 'Cordis/Introducer placed in outside facility')",977
"('228573', 'Incision #3- Treatment')",973
"('229093', 'Altered Skin Integrity NCP - Problem resolved')",959
"('223773', 'PA Line cm Mark')",953
"('229100', 'Impaired Tissue Perfusion NCP - Plan revised')",945
"('220632', 'LDH')",945
"('228530', 'Impaired Skin #2- Treatment')",944
"('227630', 'Arctic Sun Temp #1 Location')",940
"('224092', 'Range of Motion Location')",930
"('228888', 'Pain NCP - Expected outcomes')",927
"('224633', 'Undermining Present #1')",926
"('228723', 'Pressure ulcer #1- Length')",918
"('228539', 'Pressure Ulcer #1- Treatment')",912
"('225076', 'Emotional / physical / sexual harm by partner or close relation')",911
"('228620', 'Pressure Ulcer #1- Width')",910
"('224173', 'MDI #2 Drug')",908
"('227781', 'Impaired Skin  - Dressing Status #2')",908
"('224903', 'Impaired Skin Drainage #3')",906
"('225176', 'Range of Motion Status')",905
"('224924', 'Impaired Skin Odor #3')",905
"('227456', 'Albumin')",904
"('224788', 'GI #2 Tube Type')",897
"('224789', 'GI #2 Tube Status')",894
"('224441', 'GI #2 Intub Site')",889
"('227632', 'Arctic Sun/Alsius Temp #1 C')",889
"('225070', 'Unable to assess psychological')",881
"('225014', 'Incision Drainage #3')",880
"('224065', 'Circulation/Skin Integrity')",880
"('224406', 'VEN Lumen Volume')",874
"('224404', 'ART Lumen Volume')",874
"('224938', 'Impaired Skin Treatment #3')",869
"('225313', 'Bed Bath')",861
"('224438', 'Chest Tube Site # 2')",849
"('228596', 'Incision #3- Dressing Status')",846
"('228833', 'Pressure ulcer #1- Tunneling present')",844
"('227473', 'Incision Site #2')",837
"('227357', 'Dialysis Catheter Dressing Occlusive')",835
"('225028', 'Dressing Status #2')",833
"('227124', 'Dialysis Catheter Type')",829
"('224945', 'Impaired Skin Type #3')",827
"('224067', 'Range of Motion')",826
"('227429', 'Troponin-T')",819
"('225641', 'Differential-Lymphs')",818
"('224631', 'Pressure Ulcer Stage #1')",818
"('225643', 'Differential-Neuts')",817
"('225642', 'Differential-Monos')",817
"('225640', 'Differential-Eos')",817
"('225639', 'Differential-Basos')",817
"('229600', 'CAUTI Info Given')",816
"('226540', 'Hematocrit (whole blood - calc)')",810
"('225206', 'Multi Lumen Zero/Calibrate')",807
"('227663', 'Immobilizer')",807
"('226063', 'Venous O2 Pressure')",804
"('226062', 'Venous CO2 Pressure')",804
"('223679', 'TCO2 (calc) Venous')",804
"('229102', 'Infection NCP - Plan revised')",802
"('229536', 'Dialysis Catheter Type')",799
"('225023', 'Incision Dressing #2')",798
"('224740', 'RSBI Deferred')",784
"('220245', 'CO2 production')",782
