concept,count
"('51946', 'Norovirus Genogroup II')",73
"('51945', 'Norovirus Genogroup I')",73
"('51400', 'CD20')",73
"('51060', 'Triglycerides, Pleural')",73
"('51206', 'Factor VIII')",72
"('52424', 'RFXUCU')",72
"('51404', 'CD3')",71
"('50857', 'Acetone')",69
"('52369', 'Total Nucleated Cells, Other')",68
"('51313', 'CD19')",67
"('51297', 'Thrombin')",66
"('51114', 'Eosinophils')",65
"('51337', 'HLA-DR')",65
"('51172', 'CD23')",64
"('51319', 'CD3')",64
"('51215', 'FMC-7')",63
"('51052', 'Creatinine, Pleural')",63
"('50869', 'Anti-DGP (IgA/IgG)')",62
"('52955', 'CD10')",61
"('51423', 'HLA-DR')",60
"('51402', 'CD23')",60
"('51315', 'CD20')",59
"('51420', 'FMC-7')",59
"('51341', 'Lambda')",59
"('51340', 'Kappa')",59
"('51056', 'Miscellaneous, Pleural')",59
"('51105', 'Uric Acid, Urine')",58
"('51192', 'CD7')",58
"('51438', 'RBC, Other Fluid')",58
"('51167', 'CD2')",57
"('51434', 'Other Cell')",57
"('51271', 'Protein C, Functional')",57
"('51326', 'CD5')",57
"('51722', 'RFXLDLM')",56
"('51273', 'Protein S, Functional')",56
"('51406', 'CD34')",55
"('51921', 'proBNP, Pleural')",55
"('51372', 'Joint Crystals, Location')",54
"('51371', 'Joint Crystals, Comment')",54
"('51370', 'Joint Crystals, Birefringence')",54
"('51374', 'Joint Crystals, Shape')",54
"('51419', 'Eosinophils')",53
"('52256', 'Eosinophils')",53
"('51291', 'Sickle Cells')",53
"('51175', 'CD3 Absolute Count')",51
"('51174', 'CD3 %')",51
"('51033', 'FetalFN')",49
"('51503', 'Triple Phosphate Crystals')",49
"('52019', 'PAN2')",48
"('51996', 'Trichomonas vaginalis')",48
"('51317', 'CD23')",48
"('51335', 'FMC-7')",48
"('51445', 'Hematocrit, Pleural')",46
"('50968', 'Phenytoin, Free')",46
"('51980', 'Fentanyl')",46
"('52020', 'UTX10')",46
"('50969', 'Phenytoin, Percent Free')",44
"('52123', 'G6PD, Qualitative')",44
"('51399', 'CD2')",43
"('51768', 'EE6')",43
"('51163', 'CD16/56%')",43
"('51162', 'CD16/56 Absolute Count')",43
"('51416', 'CD7')",42
"('51689', 'Lyme G and M Value')",42
"('51688', 'Lyme C6 Ab')",42
"('51769', 'RUBIgGV')",42
"('51724', 'Rubella IgG Ab')",42
"('51499', 'Sperm')",42
"('51381', 'Other')",41
"('51753', 'VZV IgG Ab')",41
"('51754', 'VZV IgG Ab Value')",41
"('51429', 'Mesothelial cells')",40
"('51026', 'Amylase, Body Fluid')",40
"('51586', 'CMV IgG Ab')",40
"('51587', 'CMV IgG Ab Value')",40
"('51762', 'EE1')",39
"('52992', 'Iron Stain')",39
"('51664', 'HPE8')",38
"('52221', 'Atypical Lymphocytes')",38
"('51661', 'HPE5')",36
"('51368', 'Eosinophils')",36
"('51763', 'EE2')",35
"('51321', 'CD34')",34
"('51307', 'CD13')",34
"('51894', 'Strep A, Rapid Antigen')",34
"('51590', 'CMV Interpretation')",33
"('51588', 'CMV IgM Ab')",33
"('51299', 'Von Willebrand Factor Antigen')",33
"('52087', 'CD15/56')",32
"('52419', 'Voided Specimen')",32
"('51798', 'PEP, CSF')",32
"('51471', 'Cellular Cast')",31
"('51893', 'Staph aureus PCR')",31
"('51877', 'MRSA PCR')",31
"('51614', 'Epstein-Barr Virus  EBNA IgG Ab')",31
"('51615', 'Epstein-Barr Virus EBNA IgG Ab')",31
"('51616', 'Epstein-Barr Virus IgG Ab Value')",31
"('51617', 'Epstein-Barr Virus IgM Ab Value')",31
"('51618', 'Epstein-Barr Virus Interpretation')",31
"('51619', 'Epstein-Barr Virus VCA IgG Ab')",31
"('51620', 'Epstein-Barr Virus VCA IgM Ab')",31
"('51096', 'Porphobilinogen Screen')",31
"('51298', 'Von Willebrand Factor Activity')",31
"('51165', 'CD19 %')",31
"('51166', 'CD19 Absolute Count')",31
"('51169', 'CD20 %')",31
"('51170', 'CD20 Absolute Count')",31
"('51332', 'CD7')",30
"('51247', 'MacroOvalocytes')",30
"('51290', 'Sickle Cell Preparation')",29
"('51314', 'CD2')",29
"('51305', 'CD117')",29
"('51517', 'WBC Casts')",29
"('51369', 'Hematocrit, Joint Fluid')",28
"('51320', 'CD33')",28
"('51310', 'CD15')",28
"('51235', 'Inhibitor Screen')",28
"('51579', 'CA 19-9')",28
"('51481', 'Hemosiderin')",27
"('51101', 'Total Collection Time')",27
"('51081', 'Creatinine, Serum')",27
"('51080', 'Creatinine Clearance')",27
"('51109', 'Urine Volume, Total')",27
"('51106', 'Urine Creatinine')",27
"('51764', 'EE7')",27
"('52426', 'UCU1')",27
"('51489', 'NonSquamous Epithelial Cell')",26
"('51199', 'Eosinophil Count')",26
"('51124', 'Plasma')",25
"('51043', 'Total Protein, Body Fluid')",24
"('51309', 'CD14')",24
"('51028', 'Bilirubin, Total, Body Fluid')",24
"('51745', 'Toxoplasma Interpretation')",24
"('51742', 'Toxoplasma IgG Ab Value')",24
"('51741', 'Toxoplasma IgG Ab')",24
"('51091', 'Myoglobin, Urine')",22
"('50855', 'Absolute Hemoglobin')",21
"('50854', 'Absolute A1c')",21
"('51725', 'Rubeola IgG Ab')",21
"('51726', 'Rubeola IgG Ab Value')",21
"('51454', 'Plasma Cells')",21
"('51034', 'Glucose, Body Fluid')",21
"('51188', 'CD56')",21
"('51035', 'LD, Body Fluid')",20
"('51442', 'Basophils')",20
"('52223', 'Bands')",20
"('52262', 'Immunophenotyping')",20
"('50865', 'Amikacin')",20
"('51772', 'PAN3')",20
"('51110', 'Atypical Lymphocytes')",19
"('51264', 'Platelet Clumps')",19
"('51509', 'Urine Comments')",19
"('51204', 'Factor V')",19
"('51323', 'CD4')",18
"('51025', 'Albumin, Body Fluid')",18
"('51693', 'Mumps IgG Ab')",18
"('51694', 'Mumps IgG Ab Value')",18
"('51232', 'Hypersegmented Neutrophils')",17
"('51796', 'Miscellaneous, CSF')",17
"('52131', 'HIT-Ab Interpreted Result')",16
"('52132', 'HIT-Ab Numerical Result')",16
"('51422', 'Hematocrit, Other Fluid')",16
"('50850', 'Triglycerides, Ascites')",16
"('51638', 'Hematocrit')",16
"('51645', 'Hemoglobin, Calculated')",16
"('52569', 'Glucose')",16
"('52610', 'Potassium')",16
"('52623', 'Sodium')",16
"('51895', 'Strep A, Rapid Antigen')",16
"('51115', 'Hematocrit, Ascites')",16
"('51953', 'Voided Specimen')",16
"('51510', 'Urine Crystals, Other')",16
"('51934', 'C Diff Toxin Antigen Assay')",16
"('51032', 'Creatinine, Body Fluid')",16
"('50901', 'Centromere')",15
"('51507', 'Urine Casts, Other')",15
"('51334', 'CD8')",15
"('51178', 'CD34')",15
"('51156', 'CD13')",15
"('51901', 'Voided Specimen')",15
"('51666', 'H. pylori IgG Ab')",14
"('51306', 'CD11c')",14
"('51159', 'CD15')",14
"('51154', 'CD117')",14
"('51189', 'CD57')",14
"('51981', 'Glucose')",14
"('51984', 'Ketone')",14
"('51985', 'Leukocytes')",14
"('51987', 'Nitrite')",14
"('51967', 'Blood')",14
"('51624', 'Free Calcium')",14
"('51739', 'Total CO2')",14
"('52500', 'Anion Gap')",14
"('52535', 'Chloride')",14
"('52546', 'Creatinine')",14
"('52647', 'Urea Nitrogen')",14
"('51966', 'Bilirubin')",14
"('51992', 'Protein')",14
"('51994', 'Specific Gravity')",14
"('52002', 'Urobilinogen')",14
"('52730', 'pH')",14
"('52109', 'dRVVT - Screen')",14
"('51212', 'Fetal Hemoglobin')",14
"('51677', 'K (GREEN)')",14
"('51667', 'H. pylori IgG Ab Value')",13
"('51328', 'CD56')",13
"('51765', 'EE3')",13
"('51135', 'ADP')",13
"('51142', 'Arachadonic Acid')",13
"('51195', 'Collagen')",13
"('51207', 'Factor VIII Inhibitor')",13
"('51191', 'CD64')",12
"('51177', 'CD33')",12
"('51158', 'CD14')",12
"('51567', 'Beta Hydroxybutyrate')",12
"('51038', 'Miscellaneous, Body Fluid')",12
"('51386', 'Bands')",11
"('51869', 'Influenza A, Rapid Antigen')",11
"('51874', 'Influenza B, Rapid Antigen')",11
"('51217', 'Glyco A')",11
"('51193', 'CD71')",11
"('51182', 'CD41')",11
"('51155', 'CD11c')",11
"('51366', 'Bands')",11
"('52225', 'Basophils')",11
"('51022', 'Glucose, Joint Fluid')",11
"('51954', 'CDT027')",11
"('51063', 'Osmolality, Stool')",11
"('51112', 'Basophils')",11
"('51333', 'CD71')",10
"('51324', 'CD41')",10
"('51418', 'CD8')",10
"('51408', 'CD4')",10
"('50962', 'N-Acetylprocainamide (NAPA)')",10
"('50972', 'Procainamide')",10
"('51049', 'Bilirubin, Total, Pleural')",10
"('51367', 'Basophils')",10
"('52279', 'Plasma')",10
"('51331', 'CD64')",9
"('51494', 'RBC Casts')",9
"('51161', 'CD16')",9
"('51205', 'Factor VII')",9
"('51185', 'CD5 %')",9
"('51186', 'CD5 Absolute Count')",9
"('51755', 'White Blood Cells')",9
"('51242', 'LUC')",9
"('51111', 'Bands')",8
"('51864', 'Influenza A by PCR')",8
"('51872', 'Influenza B by PCR')",8
"('51270', 'Protein C, Antigen')",8
"('52176', 'Rouleaux')",8
"('51220', 'Heinz Body Prep')",8
"('52358', 'Lining Cell')",8
"('51392', 'CD13')",8
"('51441', 'Bands')",8
"('51065', 'Sodium, Stool')",8
"('51272', 'Protein S, Antigen')",8
"('51502', 'Trichomonas')",7
"('51652', 'High-Sensitivity CRP')",7
"('51336', 'Glyco A')",7
"('51440', 'Atypical Lymphocytes')",7
"('50888', 'Blue Top Hold Frozen')",7
"('52270', 'Metamyelocytes')",7
"('51179', 'CD38')",7
"('52179', 'SCT - Screen')",7
"('51465', 'Bilirubin Crystals')",6
"('51084', 'Glucose, Urine')",6
"('51744', 'Toxoplasma IgM Ab Value')",6
"('51743', 'Toxoplasma IgM Ab')",6
"('52107', 'dRVVT - Confirmation')",6
"('52108', 'dRVVT - Normalized Ratio')",6
"('52720', 'HCG, Urine, Qualitative')",6
"('51385', 'Atypical Lymphocytes')",6
"('51377', 'Mesothelial Cells')",6
"('51515', 'Waxy Casts')",6
"('51064', 'Potassium, Stool')",6
"('51302', 'Young Cells')",5
"('51312', 'CD16/56')",5
"('52642', 'Troponin I')",5
"('51452', 'NRBC')",5
"('51488', 'Non-squamous Epithelial Cells')",5
"('52181', 'Stomatocyte')",5
"('51365', 'Atypical Lymphocytes')",5
"('51024', 'Total Protein, Joint Fluid')",5
"('51062', 'Chloride, Stool')",5
"('51467', 'Broad Casts')",5
"('51208', 'Factor X')",5
"('51875', 'Influenza B, Rapid Antigen')",5
"('51870', 'Influenza A, Rapid Antigen')",5
"('50875', 'Anti-Parietal Cell Antibody')",5
"('51767', 'EE5')",5
"('52335', 'TdT')",4
"('51295', 'TdT')",4
"('51202', 'Factor II')",4
